index,Store_ID,month,Dept,Weekly_Sales,CPI,Unemployment
0,1,2,14,19466.91,211.10,8.11
1,1,2,8,40129.01,211.10,8.11
2,1,2,80,15694.17,211.10,8.11
3,2,2,40,96799.15,210.75,8.32
4,2,2,17,18810.11,210.75,8.32
5,2,2,14,26425.58,210.75,8.32
6,2,2,46,30328.88,210.75,8.32
7,2,2,9,24162.08,210.75,8.32
8,2,2,22,20565.41,210.75,8.32
9,1,2,11,24213.18,211.10,8.11
10,1,2,82,19484.03,211.10,8.11
11,1,2,98,10891.37,211.10,8.11
12,2,2,2,74661.16,210.75,8.32
13,2,2,34,20347.47,210.75,8.32
14,2,2,11,24800.30,210.75,8.32
15,2,2,97,41686.06,210.75,8.32
16,2,2,55,17657.65,210.75,8.32
17,2,2,95,143002.81,210.75,8.32
18,2,2,92,178982.89,210.75,8.32
19,2,2,90,106222.74,210.75,8.32
20,1,2,3,13740.12,211.10,8.11
21,2,2,21,12636.72,210.75,8.32
22,2,2,23,31836.69,210.75,8.32
23,2,2,87,36792.81,210.75,8.32
24,2,2,91,88433.59,210.75,8.32
25,1,2,92,139884.94,211.10,8.11
26,1,2,25,11609.50,211.10,8.11
27,1,2,49,11501.46,211.10,8.11
28,2,2,10,39602.47,210.75,8.32
29,1,2,22,13623.98,211.10,8.11
30,1,2,32,11875.84,211.10,8.11
31,1,2,17,13223.76,211.10,8.11
32,2,2,49,15767.00,210.75,8.32
33,2,2,80,27416.54,210.75,8.32
34,2,2,29,10322.43,210.75,8.32
35,2,2,93,66106.91,210.75,8.32
36,1,2,55,21249.31,211.10,
37,1,2,91,62424.14,211.10,8.11
38,1,2,97,32153.04,211.10,8.11
39,2,2,96,29295.96,210.75,8.32
40,2,2,4,47681.96,210.75,8.32
41,1,2,72,98499.12,211.10,8.11
42,1,2,94,56655.39,211.10,8.11
43,1,2,5,32229.38,211.10,
44,2,2,5,34025.45,210.75,8.32
45,2,2,67,15787.68,210.75,8.32
46,2,2,8,69634.80,210.75,8.32
47,2,2,82,21581.79,210.75,8.32
48,2,2,74,22923.63,210.75,8.32
49,2,2,25,16827.50,210.75,8.32
50,2,2,81,32543.64,210.75,8.32
51,2,2,79,48139.99,210.75,8.32
52,2,2,72,119609.83,210.75,8.32
53,2,2,3,16873.20,210.75,8.32
54,2,2,38,113144.90,210.75,8.32
55,2,2,32,17212.26,210.75,8.32
56,2,2,7,28512.95,210.75,8.32
57,1,2,1,24924.50,211.10,8.11
58,1,2,26,11737.12,211.10,8.11
59,1,2,79,46729.77,211.10,
60,1,2,95,106690.06,211.10,8.11
61,1,2,2,50605.27,211.10,8.11
62,1,2,4,39954.04,211.10,8.11
63,1,2,90,76419.47,211.10,8.11
64,1,2,81,30052.75,211.10,8.11
65,1,2,40,66780.63,211.10,8.11
66,1,2,10,30721.50,211.10,8.11
67,2,2,94,67287.18,210.75,8.32
68,2,2,58,28454.00,210.75,8.32
69,1,2,46,20837.77,211.10,8.11
70,2,2,98,14693.62,210.75,8.32
71,2,2,13,53319.96,210.75,8.32
72,2,2,1,35034.06,210.75,8.32
73,2,2,26,13414.69,210.75,8.32
74,1,2,13,41969.29,211.10,8.11
75,1,2,80,16720.84,211.24,8.11
76,2,2,95,144429.03,210.90,8.32
77,2,2,32,21492.32,210.90,8.32
78,2,2,49,15567.51,210.90,8.32
79,2,2,58,34433.91,210.90,8.32
80,2,2,4,44197.95,210.90,8.32
81,2,2,91,92680.72,210.90,8.32
82,1,2,3,10887.84,211.24,8.11
83,1,2,32,14700.59,211.24,8.11
84,1,2,9,16562.49,211.24,8.11
85,1,2,49,16139.05,211.24,8.11
86,1,2,94,62329.48,211.24,8.11
87,1,2,2,44682.74,211.24,8.11
88,2,2,72,109918.31,210.90,8.32
89,2,2,17,16749.96,210.90,8.32
90,2,2,38,100344.36,210.90,8.32
91,2,2,96,32120.35,210.90,8.32
92,2,2,14,22993.48,210.90,8.32
93,2,2,22,18694.14,210.90,8.32
94,2,2,29,10985.98,210.90,8.32
95,2,2,79,38257.99,210.90,8.32
96,1,2,82,20949.36,211.24,8.11
97,1,2,93,70202.02,211.24,8.11
98,1,2,92,143081.42,211.24,8.11
99,1,2,18,19006.50,211.24,8.11
100,2,2,92,182142.89,210.90,8.32
101,2,2,24,11838.72,210.90,8.32
102,2,2,82,22121.92,210.90,8.32
103,2,2,46,28121.34,210.90,8.32
104,2,2,94,73828.47,210.90,8.32
105,2,2,87,35794.44,210.90,8.32
106,1,2,74,11857.96,211.24,8.11
107,1,2,14,18129.02,211.24,8.11
108,1,2,11,21760.75,211.24,8.11
109,1,2,8,37334.83,211.24,8.11
110,1,2,91,66937.00,211.24,8.11
111,1,2,95,111390.36,,8.11
112,1,2,90,79455.64,211.24,8.11
113,1,2,34,12852.83,211.24,8.11
114,1,2,38,94136.35,211.24,8.11
115,1,2,79,36080.86,211.24,8.11
116,2,2,26,12962.49,210.90,8.32
117,2,2,9,21365.98,210.90,8.32
118,2,2,34,19002.81,210.90,8.32
119,2,2,13,47186.10,210.90,8.32
120,2,2,8,63393.29,210.90,8.32
121,1,2,55,18892.81,211.24,8.11
122,1,2,5,29620.81,211.24,8.11
123,1,2,16,11873.89,211.24,8.11
124,1,2,81,30694.25,211.24,8.11
125,1,2,26,10050.92,211.24,8.11
126,1,2,10,31494.77,211.24,8.11
127,1,2,1,46039.49,211.24,8.11
128,2,2,2,65487.46,210.90,8.32
129,2,2,90,106948.27,210.90,8.32
130,2,2,97,42135.66,210.90,8.32
131,2,2,7,29067.99,210.90,8.32
132,2,2,55,23829.76,210.90,8.32
133,2,2,98,20015.78,210.90,8.32
134,2,2,3,13821.01,210.90,8.32
135,2,2,40,80924.71,210.90,8.32
136,2,2,80,28730.16,210.90,8.32
137,2,2,5,37978.19,210.90,8.32
138,2,2,21,11932.84,210.90,8.32
139,2,2,74,19152.70,210.90,8.32
140,2,2,18,22756.44,210.90,8.32
141,2,2,23,30285.16,210.90,8.32
142,2,2,1,60483.70,210.90,8.32
143,1,2,72,79636.32,211.24,8.11
144,1,2,46,18826.47,211.24,8.11
145,1,2,98,16309.73,211.24,8.11
146,1,2,25,13268.75,211.24,8.11
147,1,2,97,33874.47,211.24,8.11
148,2,2,25,19286.00,210.90,8.32
149,2,2,81,33361.51,210.90,8.32
150,2,2,6,12491.16,210.90,8.32
151,2,2,11,18323.66,210.90,8.32
152,2,2,67,28717.28,210.90,8.32
153,2,2,93,68501.78,210.90,8.32
154,2,2,10,37984.44,210.90,8.32
155,1,2,67,17614.47,211.24,8.11
156,1,2,22,14807.95,211.24,8.11
157,1,2,40,60828.25,211.24,8.11
158,2,2,26,13654.17,210.95,8.32
159,2,2,9,25458.81,210.95,8.32
160,2,2,23,28701.21,210.95,8.32
161,2,2,13,51947.05,210.95,8.32
162,2,2,90,99232.56,210.95,8.32
163,2,2,7,31003.40,210.95,8.32
164,2,2,72,121968.09,210.95,8.32
165,2,2,34,20258.49,210.95,8.32
166,2,2,14,25802.77,210.95,8.32
167,2,2,81,29863.25,210.95,8.32
168,2,2,8,66589.27,210.95,8.32
